scenario_id,seed,method,prior_type,total_rollouts,nominal_rollouts,semantic_rollouts,success,collision,route_completion,progress,min_ttc,min_clearance,mean_speed,mean_acceleration,mean_jerk,steering_smoothness,planning_latency,best_cost,selected_hypothesis,steps
front_static_obstacle,0,single_prior,correct,128,0,128,True,False,1.0,38.72169530258319,0.7947287797324974,1.1901611667334482,5.203239917755127,0.819920003414154,3.1469826698303223,0.03731372952461243,0.0015523955194348437,-16.070569471879438,left_maintain,77
front_static_obstacle,0,single_prior,partially_wrong,128,0,128,True,False,1.0,38.399244315412936,0.26976421937227285,0.6728834214143466,7.439897060394287,1.8723169565200806,3.410318374633789,0.03921345993876457,0.0015537658076797156,-48.38646232164823,keep_accelerate,52
front_static_obstacle,0,single_prior,fully_wrong,128,0,128,True,False,1.0,38.399244315412936,0.26976421937227285,0.6728834214143466,7.439897060394287,1.8723169565200806,3.410318374633789,0.03921345993876457,0.0015421438461964078,-48.38646232164823,keep_accelerate,52
front_static_obstacle,0,multi_hypothesis,correct,128,0,128,True,False,1.0,38.965901479307284,0.3899159685716634,0.9594853086969759,7.885314464569092,1.4861456155776978,4.878302097320557,0.04545119032263756,0.001694398080016981,-56.46938911437988,keep_accelerate,50
front_static_obstacle,0,multi_hypothesis,partially_wrong,128,0,128,True,False,1.0,38.49885959800787,0.2701519573645418,0.6542976516582484,7.936664581298828,1.3599361181259155,3.702406167984009,0.04415656253695488,0.0017081391020856616,-57.440740312848774,keep_accelerate,49
front_static_obstacle,0,multi_hypothesis,fully_wrong,128,0,128,True,False,1.0,38.49851262546986,0.25249776031302223,0.6134562462638771,7.630881309509277,1.6037737131118774,4.857365608215332,0.06120535358786583,0.0017111118823492028,-49.64628877826765,keep_accelerate,51
front_static_obstacle,0,robust_multi_hypothesis,correct,128,38,90,True,False,1.0,38.36023187506055,0.46931171686777373,1.2635256271720205,7.937246799468994,1.5034780502319336,3.2474987506866455,0.0464203767478466,0.0017889010612319055,-59.47038121126136,nominal,49
front_static_obstacle,0,robust_multi_hypothesis,partially_wrong,128,38,90,True,False,1.0,38.269110213256766,0.4145229330970504,1.1414764866588545,8.069188117980957,1.4002927541732788,2.7623050212860107,0.0381266325712204,0.001738011354130246,-61.06110739707947,nominal,48
front_static_obstacle,0,robust_multi_hypothesis,fully_wrong,128,38,90,True,False,1.0,38.689439994776336,0.4125163492211107,1.1857731844537347,7.984551906585693,1.448089599609375,3.370042085647583,0.04803644120693207,0.0017335817142988422,-60.28131010094467,nominal,49
blocked_lane,0,single_prior,correct,128,0,128,True,False,1.0,40.90672626138093,0.7511886844286262,1.0780278085474073,5.2905497550964355,0.8893888592720032,2.5230627059936523,0.04110673815011978,0.0015425046249902153,-15.451343846321105,right_maintain,80
blocked_lane,0,single_prior,partially_wrong,128,0,128,False,False,0.33686070442199706,13.474428176879883,2.2750569859099405,1.9255767535865886,0.9698358774185181,0.3756774961948395,2.6037466526031494,0.02335924468934536,0.0015561503285718052,62.38023082188197,keep_maintain,140
blocked_lane,0,single_prior,fully_wrong,128,0,128,False,False,0.33686070442199706,13.474428176879883,2.2750569859099405,1.9255767535865886,0.9698358774185181,0.3756774961948395,2.6037466526031494,0.02335924468934536,0.0015489755428429166,62.38023082188197,keep_maintain,140
blocked_lane,0,multi_hypothesis,correct,128,0,128,True,False,1.0,40.408365124094026,0.3313895756858101,0.4528060639486471,6.242467880249023,1.0437557697296143,3.37382435798645,0.031758230179548264,0.0017104039848645973,-35.54578841816295,left_accelerate,66
blocked_lane,0,multi_hypothesis,partially_wrong,128,0,128,True,False,1.0,40.0447026812413,0.22451483223410845,0.23037558477317432,6.20958137512207,1.0424809455871582,3.4145095348358154,0.03815566748380661,0.0017100264091175522,-30.21140870180997,left_accelerate,66
blocked_lane,0,multi_hypothesis,fully_wrong,128,0,128,False,False,0.948944116916269,37.95776467665076,0.4846218572803228,0.710680835134518,2.7925944328308105,0.5145704746246338,2.8894126415252686,0.02859014831483364,0.0017221629071432938,40.76453377859933,left_maintain,140
blocked_lane,0,robust_multi_hypothesis,correct,128,38,90,True,False,1.0,40.29563939576217,0.4741543562311395,0.8385479083330254,6.610146999359131,1.1310398578643799,2.6351051330566406,0.03819193318486214,0.0017338679032227152,-44.47350132849909,nominal,62
blocked_lane,0,robust_multi_hypothesis,partially_wrong,128,38,90,True,False,1.0,40.72127841154899,0.4672010351427078,0.8553619988842827,6.688074111938477,1.0347083806991577,2.8818655014038086,0.04379168152809143,0.0017990746612946578,-46.44443247395177,nominal,62
blocked_lane,0,robust_multi_hypothesis,fully_wrong,128,38,90,True,False,1.0,40.6099906208009,0.5236149379445816,1.1336907764088608,6.878442764282227,0.9404484629631042,5.075448036193848,0.06685491651296616,0.0017969668333307708,-51.793466567993164,nominal,60
