scenario_id,seed,method,prior_type,total_rollouts,nominal_rollouts,semantic_rollouts,success,collision,route_completion,progress,min_ttc,min_clearance,mean_speed,mean_acceleration,mean_jerk,steering_smoothness,planning_latency,best_cost,selected_hypothesis,steps
straight_free,0,vanilla,correct,128,128,0,True,False,1.0,40.14476439165335,,,8.016959190368652,1.3867926597595215,4.69985818862915,0.09960506111383438,0.0013521091399798025,-76.17298530578613,nominal,50
straight_free,0,single_prior,correct,128,0,128,True,False,1.0,40.96828079536628,,,8.714140892028809,1.9515249729156494,1.8994925022125244,0.016930926591157913,0.0014224737872009815,-80.6231929697889,keep_accelerate,47
straight_free,0,multi_hypothesis,correct,128,0,128,True,False,1.0,40.52726080189723,,,8.612129211425781,1.7330451011657715,2.684802770614624,0.02515731193125248,0.0015803859574550594,-80.4628960629727,keep_accelerate,47
straight_free,0,robust_multi_hypothesis,correct,128,38,90,True,False,1.0,40.6561973751687,,,8.638548851013184,1.7317028045654297,2.216935157775879,0.028800813481211662,0.0016169652127884663,-81.72020550991627,nominal,47
front_static_obstacle,0,vanilla,correct,128,128,0,False,False,0.3088763387579667,11.737300872802734,2.6021198076480276,3.763688729024228,0.8468924760818481,0.6055667996406555,4.488201141357422,0.06762610375881195,0.0014955192928450094,42.20280115944998,nominal,140
front_static_obstacle,0,single_prior,correct,128,0,128,False,False,0.12080285423680355,4.590508460998535,3.9448282584859524,10.91272234611767,0.3406226634979248,1.9139430522918701,1.2642576694488525,0.014791547320783138,0.0015940745571437478,53.28806063788278,left_brake,140
front_static_obstacle,0,multi_hypothesis,correct,128,0,128,True,False,1.0,38.5652868212143,0.37438012971526013,1.1197030892367952,8.306636810302734,1.5980032682418823,4.999351978302002,0.06428065150976181,0.00176686970215745,-58.342764347157576,keep_accelerate,47
front_static_obstacle,0,robust_multi_hypothesis,correct,128,38,90,True,False,1.0,38.22840945289787,0.47074177777477905,1.3772478103629213,8.239150047302246,1.5883703231811523,3.4872241020202637,0.04904588311910629,0.0017999375318624438,-61.37700937149373,nominal,47
pedestrian_crossing,0,vanilla,correct,128,128,0,True,False,1.0,36.29346003126964,0.42916490718651606,0.9875726230616035,6.556836128234863,1.2297639846801758,5.423790454864502,0.09466002136468887,0.0013853156964468585,-45.456837449754985,nominal,56
pedestrian_crossing,0,single_prior,correct,128,0,128,True,False,1.0,36.77956246324734,3.322678205143527,7.068896588018253,3.027522563934326,1.9617705345153809,1.6875706911087036,0.01765374280512333,0.0014679211951401587,2.1262017847076664,keep_brake,123
pedestrian_crossing,0,multi_hypothesis,correct,128,0,128,True,False,1.0,36.45099634128304,0.892583540390758,1.4205618792686814,4.816925525665283,1.0411096811294556,3.708491325378418,0.03874005004763603,0.001623562337670875,-9.119219990519735,left_maintain,77
pedestrian_crossing,0,robust_multi_hypothesis,correct,128,38,90,True,False,1.0,36.79509025193249,0.38344807505259293,0.6821233571150891,6.182863712310791,1.1460020542144775,4.094267845153809,0.062322597950696945,0.001666192516669677,-37.24862025578817,nominal,60
vehicle_cutin,0,vanilla,correct,128,128,0,True,False,1.0,42.064048148103,1.123598772200782,2.3922011613352883,7.7513275146484375,1.2927780151367188,5.299288749694824,0.09580277651548386,0.0015136051090435516,-59.36120345375755,nominal,55
vehicle_cutin,0,single_prior,correct,128,0,128,True,False,1.0,42.263129706920594,5.778439125225547,13.871545235202664,3.1577844619750977,1.8991469144821167,2.2913458347320557,0.01857071742415428,0.0015886127387928545,1.589038891578788,keep_brake,134
vehicle_cutin,0,multi_hypothesis,correct,128,0,128,True,False,1.0,42.31685942873168,0.4884921289277242,1.0096326165937382,8.207815170288086,1.4745471477508545,5.218557834625244,0.04436930641531944,0.0017519681730653667,-62.02924170860877,keep_accelerate,52
vehicle_cutin,0,robust_multi_hypothesis,correct,128,38,90,True,False,1.0,43.10745675529227,0.8375681326625983,1.8989776746768419,8.548722267150879,1.5569545030593872,3.85703706741333,0.04767024517059326,0.0017930951372791776,-65.7066198610792,nominal,51
blocked_lane,0,vanilla,correct,128,128,0,False,False,0.29123215675354003,11.649286270141602,2.613916881693128,3.7515706607715056,0.8406287431716919,0.6079195737838745,4.497058391571045,0.06825737655162811,0.0014995648000194705,42.47335720062256,nominal,140
blocked_lane,0,single_prior,correct,128,0,128,True,False,1.0,40.90672626138093,0.7511886844286262,1.0780278085474073,5.2905497550964355,0.8893888592720032,2.5230627059936523,0.04110673815011978,0.0015868405749699833,-15.451343846321105,right_maintain,80
blocked_lane,0,multi_hypothesis,correct,128,0,128,True,False,1.0,40.408365124094026,0.3313895756858101,0.4528060639486471,6.242467880249023,1.0437557697296143,3.37382435798645,0.031758230179548264,0.0017594323787899625,-35.54578841816295,left_accelerate,66
blocked_lane,0,robust_multi_hypothesis,correct,128,38,90,True,False,1.0,40.29563939576217,0.4741543562311395,0.8385479083330254,6.610146999359131,1.1310398578643799,2.6351051330566406,0.03819193318486214,0.0017843171451879184,-44.47350132849909,nominal,62
